Year,Name,College,POS,Rookie AV,Height (in),Weight (lbs),Hand Size (in),Arm Length (in),Wonderlic,40 Yard,Bench Press,Vert Leap (in),Broad Jump (in),Shuttle,3Cone,60Yd Shuttle,Cmp,PassAtt,Pct,PassYds,Y/A,AY/A,PassTD,Int,Rate,RushAtt,RushYds,RushAvg,RushTD
2014,Bryn Renner,North Carolina,QB,0,75.25,228,9.13,30.38,,4.87,,25.5,108,4.3,7.22,,668,1005,66.5,8221,8.2,8.3,64,25,151.2,164,-93,-0.6,4
2014,Connor Shaw,South Carolina,QB,0,72.375,206,9.25,30,,4.66,,34,115,4.33,7.07,,480,733,65.5,6074,8.3,8.8,56,16,155.9,452,1683,3.7,17
2014,Dustin Vaughan,West Texas A&M,QB,0,76.875,235,8.88,33,,4.95,,29,108,4.43,7.25,,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,Jeff Mathews,Cornell,QB,0,75.75,223,10.13,32.13,,5.26,,25.5,104,4.36,7.14,,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,Jordan Lynch,Northern Illinois,QB,0,72.125,217,8.88,29.75,,4.76,,29.5,109,4.2,6.55,,509,824,61.8,6209,7.5,8,51,14,142.1,662,4343,6.6,48
2014,Stephen Morris,Miami (FL),QB,0,73.875,213,10.25,32.75,,4.63,,30,111,4.49,7.36,,551,955,57.7,7896,8.3,7.9,49,30,137.8,114,70,0.6,3
2014,Aaron Murray,Georgia,QB,0,72.5,207,,,,,,,,,,,921,1478,62.3,13166,8.9,9.3,121,41,158.6,286,396,1.4,16
2014,Garrett Gilbert,SMU,QB,0,75.875,221,,,,,,,,,,,908,1548,58.7,9761,6.3,5.6,49,45,116.3,295,1013,3.4,20
2014,Keith Wenning,Ball St.,QB,0,74.625,218,10,31.25,,5,,28,99,4.25,7.07,,1035,1642,63,11402,6.9,6.9,92,42,134.7,190,328,1.7,13
2014,Tajh Boyd,Clemson,QB,0,72.625,222,,,,4.84,,30.5,104,4.23,7.33,,901,1402,64.3,11904,8.5,8.8,107,39,155.2,505,1165,2.3,26
2015,Jameis Winston,Florida St.,QB,44,75.75,231,9.38,32,27,4.97,,28.5,103,4.36,7.16,,562,851,66,7964,9.4,9.4,65,28,163.3,145,284,2,7
2015,Marcus Mariota,Oregon,QB,43,75.75,222,9.88,32,,4.52,,36,121,4.11,6.87,,779,1167,66.8,10796,9.3,10.5,105,14,171.8,337,2237,6.6,29
2015,Trevor Siemian,Northwestern,QB,13,74.875,210,,,,4.94,,,,,,,550,934,58.9,5931,6.4,5.8,27,24,116.6,142,-23,-0.2,6
2015,Brett Hundley,UCLA,QB,5,75.25,226,10.5,32.13,26,4.63,,36,120,3.98,6.93,,837,1241,67.4,9966,8,8.3,75,25,150.8,479,1747,3.6,30
2015,Bryce Petty,Baylor,QB,4,74.875,230,10,31.88,31,4.87,,34,121,4.13,6.91,,530,845,62.7,8195,9.7,10.6,62,10,166,192,338,1.8,21
2015,Taylor Heinicke,Old Dominion (VA),QB,1,72.375,211,,,,4.76,,,,,,,289,457,63.2,3476,7.6,7.3,30,16,141.8,80,139,1.7,2
2015,Sean Mannion,Oregon St.,QB,1,77.625,229,9,33.5,40,5.14,,31,105,4.39,7.29,,1187,1838,64.6,13600,7.4,7,83,54,135.8,132,-804,-6.1,2
2015,Jameill Showers,Texas-El Paso,QB,0,73.75,231,,,,4.76,,,,,,,297,523,56.8,3480,6.7,6.7,25,11,124.2,173,579,3.3,9
2015,Jerry Lovelocke,Prairie View A&M,QB,0,76.5,248,10.5,34.25,,4.99,,31.5,113,4.51,7.3,,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,Jesse Scroggins,Arizona,QB,0,75,208,,,,4.79,,,,,,,7,18,38.9,152,8.4,7.1,1,1,117,10,41,4.1,0
2015,Kevin Rodgers,Henderson State (AR),QB,0,74.75,201,,,,5.12,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,Mark Myers,John Carroll (OH),QB,0,76,220,,,,4.92,,,,,,,1,4,25,5,1.3,1.3,0,0,35.5,1,-3,-3,0
2015,Matt Joeckel,TCU,QB,0,76,237,,,,4.95,,,,,,,39,69,56.5,469,6.8,7.3,4,1,129.8,5,21,4.2,0
2015,Max Shortell,Jacksonville State (AL),QB,0,76.75,240,,,,5.04,,,,,,,91,170,53.5,1162,6.8,5.9,8,7,118.2,45,62,1.4,0
2015,Nick Montana,Tulane,QB,0,73,207,,,,4.84,,,,,,,227,417,54.4,2285,5.5,4.7,18,15,107.5,61,8,0.1,0
2015,Pete Thomas,La-Monroe,QB,0,77.25,232,,,,5.06,,,,,,,864,1400,61.7,9117,6.5,5.9,36,36,119.8,315,16,0.1,8
2015,Quinn Epperly,Princeton,QB,0,73.75,218,,,,4.89,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,Rakeem Cato,Marshall,QB,0,72.125,171,,,,4.7,,,,,,,1153,1838,62.7,14079,7.7,8,131,44,145.8,307,839,2.7,15
2015,Ryan Williams,Miami (FL),QB,0,76.375,220,9,30.75,,5.06,19,40,123,4.18,6.96,11.4,202,343,58.9,2581,7.5,7.1,17,11,132,52,-196,-3.8,0
2015,Shane Carden,East Carolina,QB,0,73.875,218,9.75,33.25,25,4.94,,29.5,104,4.45,7.17,,1052,1579,66.6,11991,7.6,7.8,86,30,144.6,271,253,0.9,24
2015,Taylor Kelly,Arizona St.,QB,0,73.5,198,,,,4.84,,,,,,,712,1125,63.3,8819,7.8,8.2,79,26,147.7,403,1404,3.5,13
2015,Terrance Broadway,Louisiana,QB,0,72.625,223,,,,4.62,,,,,,,618,965,64,7985,8.3,7.9,52,31,144.9,415,1936,4.7,20
2015,Tyler Murphy,Boston Col.,QB,0,73.5,210,,,,4.78,,,,,,,243,415,58.6,2839,6.8,6.1,19,15,123.9,241,1240,5.1,14
2015,Andrew Manley,East. Illinois,QB,0,75,225,,,,4.9,,,,,,,332,614,54.1,4260,6.9,6.3,25,20,119.3,119,-262,-2.2,2
2015,Anthony Boone,Duke,QB,0,72.25,231,9.63,31.63,20,5.03,,26.5,100,4.62,7.47,,540,923,58.5,5789,6.3,5.9,38,24,119.6,230,800,3.5,16
2015,Blake Sims,Alabama,QB,0,71.5,218,9,31.5,,4.57,,30.5,115,,,,275,430,64,3731,8.7,9,30,10,155.2,150,705,4.7,9
2015,Bo Wallace,Mississippi,QB,0,75.625,211,,,,5.08,,,,,,,747,1186,63,9534,8,7.5,62,41,140.8,395,944,2.4,19
2015,Brandon Bridge,South Alabama,QB,0,76.375,229,9.25,34.25,,4.72,,33,110,4.37,7.18,,189,373,50.7,2325,6.2,5.9,16,10,111.8,138,467,3.4,5
2015,Bryan Bennett,Southeastern Louisiana,QB,0,74.25,211,9.5,31,,4.81,,37,125,4.2,7.13,,45,83,54.2,580,7,7.5,9,3,141.5,62,365,5.9,6
2015,Chris Bonner,Colorado State-Pueblo,QB,0,78.25,237,,,,5.12,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,Cody Fajardo,Nevada,QB,0,73.5,223,9.5,31.38,31,4.63,,32.5,118,4.1,6.95,,878,1348,65.1,9659,7.2,7,57,29,135,636,3482,5.5,44
